Original,Inflection
درس,مدرسة
درس,الدراسات
ذكر,مذكر
ذكر,مذاكرة
ذكر,مذكرات
ذكر,ذاكرة
شهر,مشهور
شهر,التشهير
فتح,مفتاح
فتح,الفتح
فتح,الفتحة
فتح,فتحية
جري,المجاري
جري,مجرى
شبك,شبكة
شبك,مشبك
شبك,المشابكة
شرب,شراب
شرب,شربات
عالي,تعالي
عالي,معالي
قدم,قديم
قدم,مقدام
شجع,تشجيع
شجع,شجاع
قبل,قبلة
قبل,قبله
قبل,مقبول
بحر,بحار
بحر,محار
عمل,عمال
عمل,معمل
خبر,أخبار
خبر,مختبر
فاز, فائز
فاز,فائزة
حل,محل
حل,محال
وعد,موعد
وعد,توعد
نزل,منزل
نزل,منزلة
بات,بيات
بات,بيت
لعب,تلاعب
لعب,ملعب
دين,مدينة
دين,الدين
علم,استعلم
علم,معلم
سأل,مسألة
سأل,مسئولية
نقل,اعتقل
نقل,منقلة
نقل,منقلب
نقل,منقلة
عقل,معقول
عقل,عقال
عقد,عقيدة
عقد,العقد
عقد,معقد
فطر,فطير
فطر,فطرة
عطف,معطف
عطف,منعطف
صرف,تصرف
صرف,مصرف
ركب,تركيب
ركب,مركب
سير,سيارة
سير,مسيرة
نال,منال
نال,منلة
نال,منوال
حمد,أحمد
حمد,الحميد
كتب,مكتب
كتب,كتاب
كتب,مكتوب
حضر,محضر
حضر,حضرة
حضر,تحضير
سعد,سعادة
سعد,سعاد
سعد,سعودي
سعد,سعيد
سعد,مسعد
رقص,مرقص
رقص,المرقص
رقص,راقص
غرب,المغرب
غرب,غربة
غرب,مغترب
شيد,شادي
شيد,شدد
شيد,مشاداة
شيد,شديد
سلم,سلالم
سلم,مسلم
سلم,اسلام
سلم,سالم
درج,الدرج
درج,مدرج
درج,تدرج
