Original,Inflection,elasticsearch,is_same
اخذ,أخذ,اخذ,True
اكل,أكل,اكل,True
اسر,أسر,اسر,True
اقر,أقر,اقر,True
سال,سأل,سال,True
ان,أن,ان,True
الى,إلى,الي,False
اتى,أتى,اتي,False
اوى,أوى,اوي,False
ارض,أرض,ارض,True
ارز,أرز,ارز,True
اسد,أسد,اسد,True
امة,أمة,امه,False
اخذ,اخذ,اخذ,True
اكل,اكل,اكل,True
اسر,اسر,اسر,True
اقر,اقر,اقر,True
سال,سال,سال,True
ان,ان,ان,True
الى,الى,الي,False
اتى,اتى,اتي,False
اوى,اوى,اوي,False
ارض,ارض,ارض,True
ارز,ارز,ارز,True
اسد,اسد,اسد,True
امة,امة,امه,False
