Input,Token,is_same
بقى,بقي,False
تبقي,تبقى,False
تبقى,تبقي,False
بقى,بقي,False
أبقي,أبقى,False
شرى,شري,False
إشتري,إشترى,False
إشتري,إشترى,False
أدى,أدي,False
أدي,أدى,False
موتي,موتى,False
كني,كنى,False
وجبنا,وجبناء,False
جبي,جبى,False
تدعي,تدعى,False
رمى,رمي,False
بكى,بكي,False
أبكي,أبكى,False
نبكي,نبكى,False
بكى,بكي,False
أدني,أدنى,False
بعنا,بعناء,False
ولى,ولي,False
أولي,أولى,False
ولى,ولي,False
ولوا,ولواء,False
ولوا,ولواء,False
وصى,وصي,False
أوصي,أوصى,False
توصي,توصى,False
توصي,توصى,False
وصى,وصي,False
وأى,وأي,False
وأى,وأي,False
وقى,وقي,False
وقى,وقي,False
وقيا,وقياء,False
وقوا,وقواء,False
قوا,قواء,False
وعى,وعي,False
وعى,وعي,False
وعيا,وعياء,False
وعوا,وعواء,False
عوا,عواء,False
شوى,شوي,False
تشوي,تشوى,False
نشوي,نشوى,False
شوى,شوي,False
